Timepoint,cued_E1_0,cued_E1_4,cued_E1_8,cued_E1_16,cued_E2_0,cued_E2_4,cued_E2_8,cued_E2_16,cued_E3_0,cued_E3_4,cued_E3_8,cued_E3_16,uncued_E1_0,uncued_E1_4,uncued_E1_8,uncued_E1_16,uncued_E2_0,uncued_E2_4,uncued_E2_8,uncued_E2_16,uncued_E3_0,uncued_E3_4,uncued_E3_8,uncued_E3_16
t87,3.7154736260048558,3.731657938048746,3.7330753187292762,3.8126462261632112,3.73827322565431,3.7987427605677118,3.77973833027133,3.833992625381059,3.850231654729801,3.8867830145540294,3.8740851089564137,3.914445456018865,4.022742073000001,4.085607377989418,3.699716938007936,3.802577285511905,3.865464775363636,3.877936328424215,3.743826040713537,3.8743401674828113,3.9076231944116535,3.890779852781459,3.833523159803731,3.9253146469785767
t88,3.7073376212410643,3.7266741282867555,3.7264363988408205,3.8125717818590794,3.7324941140602674,3.7967273316656454,3.7763445098248667,3.832807078954636,3.849405762034788,3.8846007482700733,3.872700345558249,3.9122041160637204,4.022767393833332,4.086550086296296,3.6955581813650795,3.7979254740833333,3.8627813126818173,3.8786193451764346,3.740122911522228,3.8672704695711744,3.9037247282957397,3.8902375307205537,3.829087734419234,3.920353602675062
t89,3.7109508751332556,3.725585988277237,3.7278395033356055,3.8097845980009053,3.7363184799527906,3.794034387442985,3.7751824999935844,3.8302117424900493,3.8488551256139645,3.8820504444703254,3.8702721326393927,3.909369078495115,4.028451696333333,4.081245582857143,3.698002833722222,3.7962192946051587,3.867229686500001,3.877023293222306,3.740668111682317,3.8494921506147186,3.9069721068114034,3.8873821878899664,3.8304443791477283,3.9064309360803753
t90,3.7102537730881897,3.7216286040109905,3.7202305396352875,3.807391456132528,3.7335808072684658,3.7911280056358736,3.7701630900738516,3.8272393412012695,3.8473306949761352,3.879341994388999,3.866844143354622,3.9071089167829776,4.027212858,4.0791272670194,3.694260559769842,3.7965377177896826,3.8689097983636365,3.87382483747705,3.7372695804825184,3.8660170925395976,3.908459015452381,3.8858658959807473,3.828167462939222,3.9163628352517845
t91,3.710124261891803,3.720628858228127,3.722564344915132,3.8050625800848588,3.73373881951872,3.7884319316759467,3.772206748931334,3.8264093973807407,3.845280834640377,3.8773323973122134,3.8667489229340717,3.905355132024993,4.018680207166667,4.075603166825397,3.6924865705555554,3.7911012125119052,3.8590090488181823,3.870007492746587,3.735898253965035,3.864680532654443,3.9008159130682962,3.88129761962454,3.8262309328207125,3.915342237345891
t92,3.707902502570512,3.707361079274576,3.719583220990722,3.803904633172249,3.73139168835315,3.7819114395564233,3.7698372253458317,3.8249650024009,3.844233807637282,3.8729834873660076,3.8650111613592024,3.9045935343643023,4.013734673166667,4.0789518042857145,3.6905196703174603,3.790497412789682,3.857014842318182,3.8699424224244083,3.734774502993506,3.862141311952636,3.8991921410225565,3.8790757371182965,3.8255973910417596,3.9140198376399598
t93,3.707731640238733,3.7105324525508934,3.7200521630146612,3.8038750804965447,3.7291656948551557,3.7850610326242964,3.76915696565478,3.8237821465100246,3.842551354736835,3.874381551445081,3.864314220670343,3.9030415591720375,4.0192160515,4.074505080846561,3.688705134,3.7940655518769844,3.8605038040000004,3.8696809563874184,3.7314679383306695,3.8628726550738484,3.9007960217525053,3.8801568446098385,3.8219748320861138,3.915024292211233
t94,3.7073948215578865,3.7120552095824246,3.7200416271517964,3.801167309793094,3.729152518594668,3.784810908495841,3.7675818993549464,3.822810553785986,3.8417140078956207,3.8735121490152453,3.863479726270073,3.902690794324971,4.017166896166667,4.070926457848325,3.687921319619047,3.78961096225,3.8607326077727273,3.868950167836497,3.734512099378372,3.8613121239371027,3.900146215817043,3.8773487535604962,3.8242073919439994,3.9121580694804883
t95,3.703755999222417,3.7107788498765517,3.7214850037190295,3.8018726031569954,3.728868769171494,3.7842309791712507,3.767933284598397,3.8237244954210103,3.8412502040438783,3.8733863331512026,3.8633738875481036,3.9021944590066964,4.010065998166667,4.069897940811287,3.681964664373015,3.789942908976191,3.8532324122727273,3.8639301660430396,3.7265428086948056,3.859066528452,3.893691812030075,3.875235201738324,3.818994795071866,3.9107866349787166
t96,3.699797803626068,3.71151710096606,3.7189234064164287,3.8008044799227867,3.7250979768624175,3.7833925817080853,3.7674591697486344,3.820813354599193,3.8399076275087642,3.8726105857464974,3.8625414918959704,3.900548219341571,4.020449466833332,4.0718614112345675,3.685885369134921,3.7954220187123013,3.8608300681818184,3.863159752371711,3.7306956539190805,3.8617895253957215,3.899474817615288,3.874659957050212,3.821797439071402,3.9136083217125033
t97,3.6860357672117323,3.7146506091283795,3.718061460613513,3.7992064327293043,3.7198176367297697,3.784556877955731,3.766172748657606,3.820315424384578,3.8356992895480047,3.871838092407195,3.8619022369797036,3.896043822529699,4.0241051185000005,4.070697169118166,3.6833015807142857,3.798343732363095,3.8624045645000002,3.864561579428821,3.7300674686331172,3.8642219567061376,3.8991835533464907,3.8745349146722274,3.8197031957742076,3.914281593269398
t98,3.6985070888941336,3.714518188910328,3.7176472407245513,3.7977572497539116,3.7248733010331883,3.783856655253301,3.7658448598669567,3.8208971139517507,3.8366372973227953,3.8713818656818297,3.8618885787220107,3.9007493802764666,4.022142771833332,4.0723047892239865,3.684280334928571,3.791754902265873,3.862027007727273,3.863923761970419,3.726870668090909,3.861950321577286,3.900430763354636,3.87284452946547,3.8175157923919216,3.913363646015326
